RF_ID,Domain,Red_Flag,Description_of_Alleged_Pattern,WA_Public_Data_Testability,WA_Data_Source,WA_Signal_or_Metric,Status_Notes
RF-01,"Category 1: Program, Enrollment, and Network Anomalies",Rapid provider or facility growth,Exponential growth following enrollment.,Testable (program/sector level),DSHS AFH license dataset (formation/license dates); ALTSA caseload forecast,Count new AFH licenses per year by county; compare to bed/caseload growth,Testable over time with license-date field; this snapshot shows current roster only
RF-02,"Category 1: Program, Enrollment, and Network Anomalies",Spending growth disconnected from beneficiary growth,Macro-level spending outstripping population.,Testable (program level),OFM/DSHS LTC budget; HCA spending-growth reports; Caseload Forecast Council,"LTC total funds grew from $3.8B (2013-15, WRC 2021) to $10.44B (2023-25, OFM enacted) to $13.07B proposed (2025-27, +25.2%; DSHS-reported enacted ~$12.9B); AFH bargaining +$266M",Documented at program level; per-AFH payment data requires HCA records request
RF-03,"Category 1: Program, Enrollment, and Network Anomalies",Multi-entity or multi-facility operator concentration,Rapid accumulation of licenses.,Partially Testable,HCA Medicaid payment data by provider (not public); proxy: operator clusters,Provider-payment concentration not public; phone clusters show operator concentration,True billing concentration = records request; operator concentration computed (72 clusters)
RF-04,"Category 1: Program, Enrollment, and Network Anomalies",Geographic concentration or out-of-state operator,Operators concentrated or residing out-of-state.,Partially Testable,SOS registered-agent/governor addresses (CCFS); AFH owner address,Out-of-state governor/agent addresses via CCFS sampling,CCFS API gated; sample via UI; not bulk-computable -> records/manual
RF-05,"Category 1: Program, Enrollment, and Network Anomalies",Incomplete administrative or enrollment data,Missing capitalization records at licensing.,Not Publicly Testable,DSHS licensing files; not published,% of applications with incomplete ownership/background data,Internal DSHS metric; records request
RF-06,"Category 1: Program, Enrollment, and Network Anomalies",Excluded party involvement or linkage gap,Excluded individuals operating via new LLCs.,Partially Testable,HCA + DSHS exclusion lists; LEIE; AFH licensee names,Cross-match exclusion names vs AFH operators,Public lists available; join blocked b/c facility names != licensee legal names (0 verified matches)
RF-07,"Category 1: Program, Enrollment, and Network Anomalies",Concealed or opaque ownership / related-party control,Use of straw owners.,Partially Testable,County assessor parcel ownership vs AFH address; AFH is residence,Match AFH property owner (assessor) to licensee,Assessor data public per county; cross-match is manual/records-intensive
RF-08,"Category 1: Program, Enrollment, and Network Anomalies","Shared address, phone, registered agent, or network",Multiple licenses sharing contact data.,Testable (proxy),DSHS dataset shared phone/address/contact; SOS common governors,Shared-phone clusters: 72 multi-license clusters (up to 4 homes/phone),Computed from public DSHS data; full ownership disclosure (42 CFR 455.104) = records request
RF-09,"Category 1: Program, Enrollment, and Network Anomalies","Phantom, mailbox, virtual, or questionable address",Use of mail drops as headquarters.,Partially Testable,DSHS address; USPS/commercial-address detection,AFHs are residences (low risk for AFH); relevant for HCBS agencies (HSS-analogue),AFH model differs from MN HSS; flag mainly applies to in-home/agency HCBS
RF-10,Category 2: Billing and Claims Anomalies Requiring Internal Data,Impossible hours or overlapping services,Billing >24 hours in a day.,Not Publicly Testable,HCA claims data (not public),Overlapping units per provider/day,Claims-level; records request / HCA program integrity
