cluster_id,n_facilities,facility_type,shared_contact_type,evidence_class,relationship_type,corroboration_result,confidence,uncertainty_note
OR-CL-01,5,AFH/ALF (mixed),phone,Same openly disclosed brand,Common brand disclosed in facility names,Corroborated,High,"The manuscript's own previously-identified 5-facility Tier B cluster (Supplementary Appendix A) - openly branded, not concealed"
OR-CL-02,2,AFH,phone,Same officers/owners/managers,Same individual is registered agent of 3 LLCs (2 sharing an address) - relationship not evident from facility names,Corroborated,High,Control-related corroboration
OR-CL-03,2,ALF/Memory Care,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-04,2,ALF/Memory Care,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-05,2,AFH,phone,No public connection found,No public entity/address/officer connection found between the two operators,Not corroborated,Medium-High,"Not corroborated does not mean proven unrelated - both are real, separately registered operators; the reason they share a phone is not documented in public records"
OR-CL-06,2,ALF/Memory Care,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-07,2,Memory Care/Senior Living,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-08,2,ALF/Memory Care,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-09,2,ALF/ALF,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-10,2,ALF/ALF,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-11,2,Memory Care/Senior Living,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-12,2,Residential Care,phone,Same officers/owners/managers,Same authorized representative across two assumed business names (also shares an address) - relationship not evident from facility names,Corroborated,High,Control-related corroboration
OR-CL-13,2,Residential/Senior Living,phone,Same officers/owners/managers,Same authorized representative across two assumed business names (also shares an address) - relationship not evident from facility names at all (no shared naming convention),Corroborated,High,"Second-pass closure: individually queried after being deferred in the first pass. Control-related corroboration."
OR-CL-14,2,ALF/ALF,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-15,2,ALF/ALF,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-16,2,ALF/Memory Care,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
OR-CL-17,2,Memory Care/Memory Care,phone,Same openly disclosed brand,Common brand,Corroborated,High,None
